NOC,Year,winter_athlete_count
SMR,2006,1
SMR,2010,1
SMR,2014,2
SRB,2010,12
SRB,2014,16
SUI,1924,22
SUI,1928,23
SUI,1932,8
SUI,1936,18
SUI,1948,70
SUI,1952,47
SUI,1956,51
SUI,1960,37
SUI,1964,72
SUI,1968,49
SUI,1972,49
SUI,1976,56
SUI,1980,60
SUI,1984,63
SUI,1988,84
SUI,1992,90
SUI,1994,88
SUI,1998,96
SUI,2002,120
SUI,2006,113
SUI,2010,133
SUI,2014,157
SVK,1994,39
SVK,1998,38
SVK,2002,49
SVK,2006,80
SVK,2010,54
SVK,2014,71
SWE,1924,32
SWE,1928,19
SWE,1932,18
SWE,1936,23
SWE,1948,52
SWE,1952,65
SWE,1956,62
SWE,1960,51
SWE,1964,75
SWE,1968,80
SWE,1972,70
SWE,1976,64
SWE,1980,76
SWE,1984,66
SWE,1988,92
SWE,1992,100
SWE,1994,110
SWE,1998,94
SWE,2002,108
SWE,2006,115
SWE,2010,116
SWE,2014,96
SWZ,1992,3
TCH,1924,21
TCH,1928,19
TCH,1932,17
TCH,1936,36
TCH,1948,51
TCH,1952,8
TCH,1956,43
TCH,1960,6
TCH,1964,48
TCH,1968,48
TCH,1972,36
TCH,1976,61
TCH,1980,45
TCH,1984,53
TCH,1988,83
TCH,1992,104
TGA,2014,1
THA,2002,2
THA,2006,1
THA,2014,3
TJK,2002,2
TJK,2006,3
TJK,2010,4
TJK,2014,1
TLS,2014,1
TOG,2014,3
TPE,1972,9
TPE,1976,10
TPE,1984,14
TPE,1988,16
TPE,1992,7
TPE,1994,1
TPE,1998,5
TPE,2002,3
TPE,2006,1
TPE,2010,1
TPE,2014,5
TTO,1994,1
TTO,1998,1
TTO,2002,1
TUR,1936,7
TUR,1948,10
TUR,1956,10
TUR,1960,6
TUR,1964,12
TUR,1968,17
TUR,1976,16
TUR,1984,11
TUR,1988,19
TUR,1992,17
TUR,1994,1
TUR,1998,1
TUR,2002,5
TUR,2006,16
TUR,2010,9
TUR,2014,11
UKR,1994,49
UKR,1998,88
UKR,2002,79
UKR,2006,92
UKR,2010,82
UKR,2014,79
URS,1956,60
URS,1960,70
URS,1964,86
URS,1968,96
URS,1972,88
URS,1976,92
URS,1980,98
URS,1984,102
URS,1988,109
URU,1998,1
USA,1924,33
USA,1928,36
USA,1932,47
USA,1936,51
USA,1948,74
USA,1952,69
USA,1956,63
USA,1960,86
USA,1964,95
USA,1968,101
USA,1972,110
USA,1976,112
USA,1980,115
USA,1984,115
USA,1988,149
USA,1992,180
USA,1994,179
USA,1998,206
USA,2002,232
USA,2006,233
USA,2010,242
USA,2014,264
UZB,1994,7
UZB,1998,4
UZB,2002,6
UZB,2006,4
UZB,2010,5
UZB,2014,5
VEN,1998,1
VEN,2002,4
VEN,2006,1
VEN,2014,1
YUG,1924,7
YUG,1928,8
YUG,1936,21
YUG,1948,27
YUG,1952,9
YUG,1956,31
YUG,1964,35
YUG,1968,29
YUG,1972,12
YUG,1976,24
YUG,1980,27
YUG,1984,77
YUG,1988,45
YUG,1992,51
ZIM,2014,2
